12
0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  25.5122  81.9447  39.2851  96.888  43.7135  
25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  95.7365  63.4001  120.008  40.3459  
47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  121.153  86.4137  143.881  63.0157  
61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  141.504  99.3325  156.832  86.9933  
66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  148.561  99.0594  154.287  101.545  
61.592  66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  140.071  85.6534  137.077  102.929  
47.1405  61.592  66.6667  61.592  47.1405  25.5122  0       25.5122  118.774  62.3598  111.76  90.8364  
25.5122  47.1405  61.592  66.6667  61.592  47.1405  25.5122  0       93.6051  38.5893  92.7119  68.2231  
81.9447  95.7365  121.153  141.504  148.561  140.071  118.774  93.6051  0       57.735  57.735  63.5972  
39.2851  63.4001  86.4137  99.3325  99.0594  85.6534  62.3598  38.5893  57.735  0       57.735  58.9496  
96.888  120.008  143.881  156.832  154.287  137.077  111.76  92.7119  57.735  57.735  0       103.989  
43.7135  40.3459  63.0157  86.9933  101.545  102.929  90.8364  68.2231  63.5972  58.9496  103.989  0       
