36
0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  25.5122  129.242  154.142  175.981  184.685  177.028  155.829  130.665  118.042  91.2047  111.438  119.247  112.549  93.1142  67.6022  52.6177  65.7358  150.595  175.408  151.63  94.936  100.757  114.987  126.139  127.256  117.721  103.258  151.361  33.3333  
25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  104.142  129.242  150.685  159.175  151.838  131.136  105.803  92.5393  81.1413  97.1557  100.455  90.3224  69.0809  43.7818  35.5638  56.5504  133.449  159.935  138.591  83.9949  86.4564  99.8413  112.509  116.271  109.097  95.0029  125.853  33.3333  
47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  92.5393  118.042  136.887  141.992  131.8   109.548  84.8332  75.9795  96.4062  107.417  104.621  88.6736  64.0035  43.0379  49.4476  74.3478  108.152  135.001  114.717  62.416  62.6253  75.3796  88.6048  93.7817  88.3384  74.9887  108.886  33.3333  
61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  105.803  130.665  146.252  147.021  132.732  108.345  86.1522  84.8332  121.907  132.235  127.602  109.338  83.8982  66.4389  74.9538  99.727  89.0167  114.08  91.6072  37.2211  39.6849  53.6118  65.6125  69.2084  62.9569  49.4821  115.303  33.3333  
66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  131.136  155.829  170.61  169.84  153.785  128.701  108.345  109.548  141.508  154.268  151.576  134.301  108.977  90.0097  94.4727  117.744  93.2731  114.012  87.7282  31.5377  42.526  56.4757  64.0142  62.0436  51.2966  36.8896  138.968  33.3333  
61.592  66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  151.838  177.028  193.316  193.952  178.701  153.785  132.732  131.8   147.509  163.639  164.633  150.153  125.595  103.706  102.122  122.421  116.491  134.862  107.147  54.3353  66.9762  80.2698  85.7358  80.7756  67.7302  54.7496  162.429  33.3333  
47.1405  61.592  66.6667  61.592  47.1405  25.5122  0       25.5122  159.175  184.685  203.32  206.863  193.952  169.84  147.021  141.992  138.017  157.095  162.017  151.133  128.256  104.017  96.1699  112.504  140.292  159.817  132.393  78.1774  89.6582  103.583  110.263  106.059  93.198  79.9986  174.258  33.3333  
25.5122  47.1405  61.592  66.6667  61.592  47.1405  25.5122  0       150.685  175.981  196.691  203.32  193.316  170.61  146.252  136.887  116.109  136.861  144.613  136.928  116.221  90.8718  77.9464  90.7709  153.149  175.364  149.318  92.855  101.91  116.35  125.315  123.506  111.919  97.8499  170.08  33.3333  
129.242  104.142  92.5393  105.803  131.136  151.838  159.175  150.685  0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  25.5122  99.2137  86.0776  62.9379  38.9707  38.8938  62.8229  85.9936  99.1835  126.987  154.244  150.593  126.472  115.771  118.178  131.378  144.239  148.091  140.678  33.3333  125.853  
154.142  129.242  118.042  130.665  155.829  177.028  184.685  175.981  25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  47.1405  114.641  97.0259  71.7401  53.2939  62.0153  87.0316  108.821  118.947  142.084  167.696  167.717  149.147  137.574  138.344  150.74  164.251  169.416  163.081  33.3333  151.361  
175.981  150.685  136.887  146.252  170.61  193.316  203.32  196.691  47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  61.592  140.133  122.054  96.6183  78.8002  85.7392  109.961  132.866  144.15  142.394  165.456  169.857  159.708  146.909  145.216  156.191  170.337  177.389  172.933  33.3333  170.08  
184.685  159.175  141.992  147.021  169.84  193.952  206.863  203.32  61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  66.6667  159.759  143.689  118.63  98.2485  99.8763  121.867  146.374  160.765  127.823  148.291  156.276  154.498  140.763  136.64  145.943  160.378  169.135  166.681  33.3333  174.258  
177.028  151.838  131.8   132.732  153.785  178.701  193.952  193.316  66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  61.592  165.384  152.626  128.783  105.608  100.901  119.324  144.734  162.418  103.355  122.962  132.047  135.25  121.072  115.339  123.48  137.939  147.635  146.524  33.3333  162.429  
155.829  131.136  109.548  108.345  128.701  153.785  169.84  170.61  61.592  66.6667  61.592  47.1405  25.5122  0       25.5122  47.1405  155.089  145.911  124.095  99.1543  88.5879  103.006  128.456  148.556  81.3636  103.871  109.479  109.74  95.5761  90.1667  98.9196  113.374  122.577  121.096  33.3333  138.968  
